x,y,u,f
1.207293218163486559e-01,1.400812251795426899e+00,2.050000000000000000e+02,1.250742508227486172e-01
1.711333412552207278e-01,1.505734144868537960e+00,5.500000000000000000e+01,1.874737850687120677e-01
1.728653084083541236e-01,1.623687582467301382e+00,1.000000000000000000e+02,1.705048557348990967e-01
5.568512126611271373e-01,1.409625802349377288e+00,2.000000000000000000e+01,7.052362342285879437e-01
7.462269049425882539e-01,1.585485428343008873e+00,2.500000000000000000e+01,1.188440610725279845e+00
5.399240284984891947e-01,1.931987185832656273e+00,3.500000000000000000e+01,7.252712699891077364e-01
2.407406725205730735e-01,1.866736158085607666e+00,2.500000000000000000e+02,2.507586732213330505e-01
5.259751675216858269e-01,1.100349432578936693e+00,8.000000000000000000e+01,6.696413284393650800e-01
1.425298833853959612e-01,1.366434620994285254e+00,2.600000000000000000e+02,1.435324324664405682e-01
7.023430635739780215e-02,1.220279733830060831e+00,3.500000000000000000e+01,7.902998501996991165e-02
1.194470657858218710e-01,1.636235837536218929e+00,2.000000000000000000e+01,8.632122821824575465e-02
3.832388539283504425e-02,1.383843034049781817e+00,1.700000000000000000e+02,3.538285182909444576e-02
4.988095861205810166e-02,1.252899885619987330e+00,1.100000000000000000e+02,4.681545045957755113e-02
7.079893316029567396e-01,1.594666748688070346e+00,2.900000000000000000e+02,1.060328986900185511e+00
7.736231595909947023e-01,1.549246023001336070e+00,1.550000000000000000e+02,1.241054727746393693e+00
8.375269041957480454e-01,1.325501587830531403e+00,2.500000000000000000e+01,1.441319769706432385e+00
9.379843088827708453e-01,1.098305037264987849e+00,1.400000000000000000e+02,1.762189290039662959e+00
7.608812742823877207e-01,1.846317767914618546e+00,2.000000000000000000e+01,1.158011567399832575e+00
1.005523011148922174e-01,1.261629709832349011e+00,2.500000000000000000e+02,1.001040788950631338e-01
5.638335363424998858e-01,1.714837020187280459e+00,2.600000000000000000e+02,7.398109631384334195e-01
4.699921870784006250e-01,1.841231129653249088e+00,1.450000000000000000e+02,5.803966982581034717e-01
2.671922108866925383e-01,1.569512732181827186e+00,2.600000000000000000e+02,2.835345010993570725e-01
7.453308750533913507e-01,1.585085865913249847e+00,2.950000000000000000e+02,1.161839975947301928e+00
1.951482617948135934e-01,1.120758126323409432e+00,2.950000000000000000e+02,2.031899623108785191e-01
1.828552685557706114e-01,1.687274700173523545e+00,1.850000000000000000e+02,1.934095611554460803e-01
6.987482795385726586e-01,1.851846260021666968e+00,2.900000000000000000e+02,1.036558766501528339e+00
4.244099930434919177e-01,1.191069515160454451e+00,8.000000000000000000e+01,4.974831994969816651e-01
7.280921265075186444e-01,1.904424054651366660e+00,2.650000000000000000e+02,1.117899660582523547e+00
3.802318942861522277e-01,1.867449073663516534e+00,1.250000000000000000e+02,4.430007995651624175e-01
8.536217928848284231e-01,1.943224232445770472e+00,9.500000000000000000e+01,1.486475075409211977e+00
3.830324698154216057e-01,1.039904338560782016e+00,1.700000000000000000e+02,4.388676306728494514e-01
9.465132966488254418e-02,1.258395099111970339e+00,2.500000000000000000e+01,1.088010164824508297e-01
9.496136047026927374e-01,1.995399328623570279e+00,1.250000000000000000e+02,1.814566493791905488e+00
8.615419426911622436e-01,1.040595768041958635e+00,3.500000000000000000e+01,1.502714227453778584e+00
7.359771731873382405e-01,1.950011428659404578e+00,1.900000000000000000e+02,1.129106813793925523e+00
3.889865895495745463e-01,1.676768343229702918e+00,9.500000000000000000e+01,4.562815145575775944e-01
9.245177832769457815e-01,1.553571688223664760e+00,1.150000000000000000e+02,1.720701147206789239e+00
8.852634846153216719e-01,1.263112933130611459e+00,6.500000000000000000e+01,1.584544348010746617e+00
4.254011593661272128e-01,1.562486731664098905e+00,4.000000000000000000e+01,4.856720273960874468e-01
3.300386993253410228e-01,1.139089395013771266e+00,1.850000000000000000e+02,3.670937633789085885e-01
7.140037165292355548e-01,1.470746967898363122e+00,2.750000000000000000e+02,1.080216258741701241e+00
3.376220736337502970e-01,1.953211530476786084e+00,2.500000000000000000e+01,4.148527078987529482e-01
6.066196335527278549e-01,1.828568706731952487e+00,2.050000000000000000e+02,8.344771763066496373e-01
9.841309350864623218e-01,1.069920509239227435e+00,5.500000000000000000e+01,1.939145901263375604e+00
7.533380877166140355e-02,1.154449399172152502e+00,7.000000000000000000e+01,7.260846009709574778e-02
